section,subsection,name,price_raw,price_value,label
房間收費及按金,內外科部病房,標準房,"$1,100",1100,
房間收費及按金,內外科部病房,標準房,$550,550,
房間收費及按金,內外科部病房,雙人房,"$2,300",2300,
房間收費及按金,內外科部病房,雙人房,"$1,150",1150,
房間收費及按金,內外科部病房,私家房（露台房視乎供應）,"$4,500",4500,
房間收費及按金,內外科部病房,私家房（露台房視乎供應）,"$2,250",2250,
房間收費及按金,內外科部病房,貴賓房,"$6,500",6500,
房間收費及按金,內外科部病房,隔離病房,"$5,400",5400,
房間收費及按金,內外科部病房,加護病房 (HDU),"$9,000",9000,
房間收費及按金,內外科部病房,加護病房隔離,"$4,000",4000,
房間收費及按金,內外科部病房,嬰兒加護治療部 (SCBU),"$9,000",9000,
房間收費及按金,內外科部病房,嬰兒特別治療部 - 四小時內,"$4,500",4500,
房間收費及按金,內外科部病房,嬰兒特別治療部 - 雙胞胎之每一名嬰兒,"$7,500",7500,
房間收費及按金,內外科部病房,"嬰兒特別治療部 - 雙胞胎之每一名嬰兒, 及四小時以內","$3,750",3750,
房間收費及按金,內外科部病房,急症室,$550,550,
房間收費及按金,日間醫療部,標準房,$550,550,
房間收費及按金,日間醫療部,雙人房,"$1,150",1150,
房間收費及按金,日間醫療部,私家房,"$2,250",2250,
手術室,手術室收費,手術室收費（每小時）,"$6,000",6000,
手術室,手術室收費,手術室收費（每小時）,"$7,200",7200,
手術室,手術室收費,手術室收費（每小時）,"$8,200",8200,
護理程序及輸血,一般護理程序,傷口處理（簡單）,$440,440,
護理程序及輸血,一般護理程序,傷口處理（簡單）,$570,570,
護理程序及輸血,一般護理程序,傷口處理（簡單）,$750,750,
護理程序及輸血,一般護理程序,傷口處理（複雜）,$550,550,
護理程序及輸血,一般護理程序,傷口處理（複雜）,$715,715,
護理程序及輸血,一般護理程序,傷口處理（複雜）,$935,935,
護理程序及輸血,一般護理程序,注射程序（每針）,$150,150,
護理程序及輸血,一般護理程序,注射程序（每針）,$150,150,
護理程序及輸血,一般護理程序,注射程序（每針）,$150,150,
護理程序及輸血,一般護理程序,插入或移除鼻胃管,$400,400,
護理程序及輸血,一般護理程序,插入或移除鼻胃管,$520,520,
護理程序及輸血,一般護理程序,插入或移除鼻胃管,$680,680,
護理程序及輸血,一般護理程序,插入或移除尿喉,$830,830,
護理程序及輸血,一般護理程序,插入或移除尿喉,$950,950,
護理程序及輸血,一般護理程序,插入或移除尿喉,"$1,160",1160,
護理程序及輸血,一般護理程序,餵食喉餵食,$840,840,
護理程序及輸血,一般護理程序,餵食喉餵食,"$1,090",1090,
護理程序及輸血,一般護理程序,餵食喉餵食,"$1,430",1430,
護理程序及輸血,一般護理程序,一般縫線,"$1,200",1200,
護理程序及輸血,一般護理程序,一般縫線,"$1,560",1560,
護理程序及輸血,一般護理程序,一般縫線,"$2,040",2040,
護理程序及輸血,一般護理程序,移除縫線,$450,450,
護理程序及輸血,一般護理程序,移除縫線,$585,585,
護理程序及輸血,一般護理程序,移除縫線,$765,765,
護理程序及輸血,一般護理程序,灌腸服務,$400,400,
護理程序及輸血,一般護理程序,灌腸服務,$440,440,
護理程序及輸血,一般護理程序,灌腸服務,$480,480,
護理程序及輸血,一般護理程序,移除引流,$450,450,
護理程序及輸血,一般護理程序,移除引流,$585,585,
護理程序及輸血,一般護理程序,移除引流,$765,765,
護理程序及輸血,一般護理程序,抽吸分泌物（每次）,$430,430,
護理程序及輸血,一般護理程序,抽吸分泌物（每次）,$560,560,
護理程序及輸血,一般護理程序,抽吸分泌物（每次）,$730,730,
護理程序及輸血,輸血,輸血（設置及首單位）,"$1,270",1270,
護理程序及輸血,輸血,輸血（設置及首單位）,"$1,460",1460,
護理程序及輸血,輸血,輸血（設置及首單位）,"$2,140",2140,
24小時門診服務,普通科門診診症,普通科 — 早上8時至晚上8時（星期日及公眾假期除外）,$590,590,
24小時門診服務,普通科門診診症,普通科 — 星期日及公眾假期早上8時至晚上8時,$800,800,
24小時門診服務,普通科門診診症,夜間普通科 — 任何日子晚上8時至凌晨0時,$900,900,
24小時門診服務,普通科門診診症,夜間普通科 — 任何日子凌晨0時至上午8時,"$1,000",1000,
24小時門診服務,駐院兒科門診診症,兒科 — 星期一至五早上8時至晚上6時（公眾假期除外）,"$1,600",1600,
24小時門診服務,駐院兒科門診診症,兒科 — 星期一至五晚上6時至凌晨0時（公眾假期除外）,"$2,000",2000,
24小時門診服務,駐院兒科門診診症,兒科 — 星期六、日及公眾假期早上8時至凌晨0時,"$2,000",2000,
24小時門診服務,駐院兒科門診診症,兒科 — 任何日子凌晨0時至早上8時,"$3,000",3000,
24小時門診服務,專科門診診症,專科診症,"$2,500 - $3,000","$2,500 - $3,000",
24小時門診服務,專科門診診症,專科診症（複診跟進）,"$1,800 - $2,200","$1,800 - $2,200",
24小時門診服務,專科門診診症,臨床心理諮詢,"$2,000+","$2,000+",
24小時門診服務,專科門診診症,聽力測試,$280,280,
