package_type,specialty_zh,specialty_en,name,standard,twin,private,link
total_care,腸鏡及胃鏡,Colonoscopy & Gastroscopy,結腸鏡及胃鏡檢查 - 睡眠監察麻醉,30900,35850,44600,https://www.matilda.org/fees-and-packages/endoscopy/endoscopy-procedures?hsLang=zh-hk
total_care,腸鏡及胃鏡,Colonoscopy & Gastroscopy,結腸鏡檢查 - 睡眠監察麻醉,19880,23392,29420,https://www.matilda.org/fees-and-packages/endoscopy/endoscopy-procedures?hsLang=zh-hk
total_care,腸鏡及胃鏡,Colonoscopy & Gastroscopy,胃鏡檢查 - 睡眠監察麻醉,17300,20400,25700,https://www.matilda.org/fees-and-packages/endoscopy/endoscopy-procedures?hsLang=zh-hk
hospital,腸鏡及胃鏡,Colonoscopy & Gastroscopy,結腸鏡及胃鏡檢查 - 睡眠監察麻醉,13900,16300,19100,
hospital,腸鏡及胃鏡,Colonoscopy & Gastroscopy,結腸鏡檢查 - 睡眠監察麻醉,9800,11800,14300,
hospital,腸鏡及胃鏡,Colonoscopy & Gastroscopy,胃鏡檢查 - 睡眠監察麻醉,9300,11200,13700,
hospital,腸鏡及胃鏡,Colonoscopy & Gastroscopy,乙狀結腸鏡檢查- 靜脈麻醉,4700,6100,7700,
total_care,耳鼻喉科,"Ear, Nose & Throat",鼻中隔整形術及鼻甲切除術,92260,122780,156020,https://www.matilda.org/fees-and-packages/ent/septoplasty-and-turbinectomy-packages?hsLang=zh-hk
total_care,耳鼻喉科,"Ear, Nose & Throat",扁桃腺切除術,67200,85940,104660,https://www.matilda.org/fees-and-packages/ent/tonsillectomy-and-adenoidectomy-packages?hsLang=zh-hk
total_care,耳鼻喉科,"Ear, Nose & Throat",扁桃腺切除術及腺體切除術,86100,110460,136360,https://www.matilda.org/fees-and-packages/ent/tonsillectomy-and-adenoidectomy-packages?hsLang=zh-hk
total_care,耳鼻喉科,"Ear, Nose & Throat",內窺鏡鼻甲骨成形術,60760,77260,95020,https://www.matilda.org/fees-and-packages/ent/endoscopic-turbinoplasty?hsLang=zh-hk
total_care,耳鼻喉科,"Ear, Nose & Throat",功能性內視鏡鼻竇手術,120500,152400,182940,https://www.matilda.org/fees-and-packages/ent/functional-endoscopic-sinus-surgery-fess-package?hsLang=zh-hk
total_care,耳鼻喉科,"Ear, Nose & Throat",顯微喉鏡,65300,85200,106300,https://www.matilda.org/fees-and-packages/ent/microlaryngoscopy-package?hsLang=zh-hk
total_care,耳鼻喉科,"Ear, Nose & Throat",鼓膜切開術(使用或不使用導管),52360,68520,80800,https://www.matilda.org/fees-and-packages/ent/myringotomy-package?hsLang=zh-hk
total_care,耳鼻喉科,"Ear, Nose & Throat",鼓室成形術 （鼓膜成形術)(傳統手術),82000,104300,128700,https://www.matilda.org/fees-and-packages/ent/tympanoplasty-myringoplasty-package?hsLang=zh-hk
total_care,耳鼻喉科,"Ear, Nose & Throat",鼓室成形術 （鼓膜成形術)(內窺鏡手術),105000,147480,175200,https://www.matilda.org/fees-and-packages/ent/tympanoplasty-myringoplasty-package?hsLang=zh-hk
total_care,耳鼻喉科,"Ear, Nose & Throat",睡眠質素測試和睡眠內視鏡檢查(獨立房),41600,,,
hospital,耳鼻喉科,"Ear, Nose & Throat",功能性內視鏡鼻竇手術套餐 (兩邊) (不包植入物及網),49900,59800,70300,
hospital,耳鼻喉科,"Ear, Nose & Throat",半甲狀腺切除術,35600,43400,51800,
hospital,耳鼻喉科,"Ear, Nose & Throat",全甲狀腺切除術,45800,55700,65900,
hospital,耳鼻喉科,"Ear, Nose & Throat",鼓室成形術 （鼓膜成形術)(傳統手術),33800,41100,49100,
hospital,耳鼻喉科,"Ear, Nose & Throat",鼓室成形術 （鼓膜成形術)(內窺鏡手術),36500,44800,53600,
hospital,耳鼻喉科,"Ear, Nose & Throat",鼓膜切開術(使用或不使用導管),23900,29400,35500,
hospital,耳鼻喉科,"Ear, Nose & Throat",內窺鏡鼻甲骨成形術,32300,39400,47200,
hospital,耳鼻喉科,"Ear, Nose & Throat",鼻中隔整形術及鼻甲切除術,36500,44600,52900,
hospital,耳鼻喉科,"Ear, Nose & Throat",扁桃腺切除術,31600,38700,46200,
hospital,耳鼻喉科,"Ear, Nose & Throat",扁桃腺切除術及腺體切除,33300,40500,48400,
hospital,耳鼻喉科,"Ear, Nose & Throat",顥微喉鏡內(包括活檢化驗),31800,38800,46300,
hospital,耳鼻喉科,"Ear, Nose & Throat",鼻腔內窺鏡,10000,12600,16300,
hospital,耳鼻喉科,"Ear, Nose & Throat",睡眠質素測試及鼻腔內窺鏡(獨立房),20100,,,
hospital,耳鼻喉科,"Ear, Nose & Throat",睡眠質素測試(獨立房),10300,,,
total_care,外科手術,General Surgery,痔瘡切除術（傳統手術）,44000,59550,75850,https://www.matilda.org/fees-and-packages/general-survery/haemorrhoidectomy-package?hsLang=zh-hk
total_care,外科手術,General Surgery,痔瘡切除術（痔瘡槍手術）,58100,76760,96400,https://www.matilda.org/fees-and-packages/general-survery/haemorrhoidectomy-package?hsLang=zh-hk
total_care,外科手術,General Surgery,痔瘡切除術(痔瘡槍手術或經肛門去痔),62600,82360,103600,https://www.matilda.org/fees-and-packages/general-survery/haemorrhoidectomy-package?hsLang=zh-hk
total_care,外科手術,General Surgery,半結腸切除術,204230,273010,347290,https://www.matilda.org/fees-and-packages/general-survery/hemi-colectomy-package?hsLang=zh-hk
total_care,外科手術,General Surgery,腹股溝疝氣切除術[傳統手術(一個腹股溝疝氣)],74900,96900,126500,https://www.matilda.org/fees-and-packages/general-survery/inguinal-hernia-repair-package?hsLang=zh-hk
total_care,外科手術,General Surgery,腹股溝疝氣切除術[腹腔鏡(單邊、不包括人工網膜)],81980,111710,141670,https://www.matilda.org/fees-and-packages/general-survery/inguinal-hernia-repair-package?hsLang=zh-hk
total_care,外科手術,General Surgery,全乳切除術(單邊全部),91300,121700,154900,https://www.matilda.org/fees-and-packages/general-survery/mastectomy-packages?hsLang=zh-hk
total_care,外科手術,General Surgery,全乳切除術(改良根治性乳房切除手術+淋巴結活檢),147300,204400,264300,https://www.matilda.org/fees-and-packages/general-survery/mastectomy-packages?hsLang=zh-hk
total_care,外科手術,General Surgery,全乳切除術(改良根治性乳房切除手術+淋巴結清除+/-腋下淋巴切除),145800,204900,266700,https://www.matilda.org/fees-and-packages/general-survery/mastectomy-packages?hsLang=zh-hk
total_care,外科手術,General Surgery,甲狀腺切除術[半邊部份切除(雙極刀或超聲刀或同等)],84780,115280,147220,https://www.matilda.org/fees-and-packages/general-survery/thyroidectomyd?hsLang=zh-hk
total_care,外科手術,General Surgery,甲狀腺切除術[全部切除(雙極刀或超聲刀或同等)],112970,152220,194500,https://www.matilda.org/fees-and-packages/general-survery/thyroidectomyd?hsLang=zh-hk
total_care,外科手術,General Surgery,乳房腫瘤切除術(前哨淋巴結活組織檢查),111240,150200,191460,https://www.matilda.org/fees-and-packages/general-survery/wide-excision-lumpectomy-packages?hsLang=zh-hk
total_care,外科手術,General Surgery,乳房腫瘤切除術(前哨淋巴結活組織檢查+冷凍切片+腋下淋巴切除),123690,167010,212660,https://www.matilda.org/fees-and-packages/general-survery/wide-excision-lumpectomy-packages?hsLang=zh-hk
total_care,外科手術,General Surgery,包皮環切術(割包皮),34090,46010,57230,https://www.matilda.org/fees-and-packages/general-survery/circumcision-package?hsLang=zh-hk
total_care,外科手術,General Surgery,靜脈結紮抽除及勾脫術[傳統手術 (單邊)],63700,87100,109780,https://www.matilda.org/fees-and-packages/general-survery/trendenburg-stripping-avulsion-of-varicose-veins-package?hsLang=zh-hk
total_care,外科手術,General Surgery,靜脈結紮抽除及勾脫術[激光消融術 (單邊)],73800,99840,124480,https://www.matilda.org/fees-and-packages/general-survery/trendenburg-stripping-avulsion-of-varicose-veins-package?hsLang=zh-hk
hospital,外科手術,General Surgery,全乳切除術(單邊全部),43100,51500,61300,
hospital,外科手術,General Surgery,乳房腫瘤切除術(前哨淋巴結活組織檢查),45400,54100,64400,
hospital,外科手術,General Surgery,改良根治性乳房腫瘤切除術+淋巴結活檢,59300,72400,88300,
hospital,外科手術,General Surgery,全乳切除術+淋巴結清除,50800,62400,76700,
hospital,外科手術,General Surgery,乳房腫瘤切除術+前消淋巴結活組織檢查+腋下淋巴切除,51200,60900,72300,
hospital,外科手術,General Surgery,傳統式痔瘡切除術,21000,26100,31600,
hospital,外科手術,General Surgery,痔瘡槍+ 痔動脈結紮術,34000,41700,49900,
hospital,外科手術,General Surgery,痔瘡槍手術,29500,36100,42700,
hospital,外科手術,General Surgery,傳統腹股溝疝氣切除,30900,37900,45500,
hospital,外科手術,General Surgery,腹腔鏡腹股溝疝氣切除(不包括植入物),37000,45500,54300,
hospital,外科手術,General Surgery,靜脈結紮抽除及勾脫術[傳統手術 (單邊)],25300,30200,35500,
hospital,外科手術,General Surgery,靜脈結紮抽除及勾脫術[激光消融術 (單邊)],32900,40100,47300,
hospital,外科手術,General Surgery,腹腔鏡半結腸切除術,115100,144600,176100,
total_care,婦科,Gynaecology,陰道鏡 +/- 大環狀子宮頸移形帶切除術 / 子宮頸電環切除術,34400,42400,52700,https://www.matilda.org/fees-and-packages/gynecology/colposcopy?hsLang=zh-hk
total_care,婦科,Gynaecology,子宮腔鏡（診斷檢查）+ 擴刮,38050,42900,51800,https://www.matilda.org/fees-and-packages/gynecology/hysteroscopic-surgery-package?hsLang=zh-hk
total_care,婦科,Gynaecology,子宮擴刮術,28000,36620,45700,https://www.matilda.org/fees-and-packages/gynecology/dilatation-and-curettage-package?hsLang=zh-hk
total_care,婦科,Gynaecology,子宮切除術[經腹腔],126680,162900,200990,https://www.matilda.org/fees-and-packages/gynecology/hysterectomy-package?hsLang=zh-hk
total_care,婦科,Gynaecology,子宮切除術(經腹腔的全子宮切除),128500,167310,207750,https://www.matilda.org/fees-and-packages/gynecology/hysterectomy-package?hsLang=zh-hk
total_care,婦科,Gynaecology,子宮切除術(經陰道+/-全子宮切除),103550,134980,167840,https://www.matilda.org/fees-and-packages/gynecology/hysterectomy-package?hsLang=zh-hk
total_care,婦科,Gynaecology,子宮切除術(腹腔鏡/腹腔鏡輔助經陰道+/-全子宮切除術),158820,200400,242340,https://www.matilda.org/fees-and-packages/gynecology/hysterectomy-package?hsLang=zh-hk
total_care,婦科,Gynaecology,子宮肌瘤切除術(傳統手術 ),106050,137200,166300,https://www.matilda.org/fees-and-packages/gynecology/myomectomy-package?hsLang=zh-hk
total_care,婦科,Gynaecology,子宮肌瘤切除術(腹腔鏡 ),147260,185100,224030,https://www.matilda.org/fees-and-packages/gynecology/myomectomy-package?hsLang=zh-hk
total_care,婦科,Gynaecology,卵巢囊腫切除(傳統手術),90100,117020,145670,https://www.matilda.org/fees-and-packages/gynecology/ovarian-cystectomy-package?hsLang=zh-hk
total_care,婦科,Gynaecology,卵巢囊腫切除(腹腔鏡),111500,139300,169100,https://www.matilda.org/fees-and-packages/gynecology/ovarian-cystectomy-package?hsLang=zh-hk
hospital,婦科,Gynaecology,擴張刮宮手術,13700,16500,19900,
hospital,婦科,Gynaecology,診斷性子宮鏡及刮宮術,17100,20400,24600,
hospital,婦科,Gynaecology,陰道鏡及子宮頸活組織檢查,14500,17800,21300,
hospital,婦科,Gynaecology,ERPC（一晚）,12100,15000,18000,
hospital,婦科,Gynaecology,子宮切除術(經腹腔),51700,63800,77700,
hospital,婦科,Gynaecology,子宮切除術(經腹腔的全子宮切除),58000,71500,86700,
hospital,婦科,Gynaecology,經陰道子宮切除術,41700,50500,60800,
hospital,婦科,Gynaecology,腹腔鏡子宮切除術,71700,85400,99600,
hospital,婦科,Gynaecology,傳統子宮肌瘤切除術,42200,52800,65200,
hospital,婦科,Gynaecology,腹腔鏡子宮肌瘤切除術,71200,84800,99000,
hospital,婦科,Gynaecology,卵巢囊腫切除(傳統手術),37800,47600,59200,
hospital,婦科,Gynaecology,卵巢囊腫切除(腹腔鏡),59100,70500,82500,
total_care,產科,Maternity,自然分娩(已包括產鉗及真空抽吸分娩)-兩晚,64800,84500,100800,
total_care,產科,Maternity,剖腹分娩 - 4晚,108600,131600,162000,
total_care,產科,Maternity,剖腹分娩 - 4晚 (星期日及公眾假期，或於 8 號或以上颱風訊號懸掛),120700,152200,185700,
total_care,產科,Maternity,剖腹分娩 - 4晚 (擇時辰),137800,182400,233500,
total_care,產科,Maternity,緊急剖腹分娩 - 4晚 (少於 6 小時通知),130400,163200,211900,
total_care,產科,Maternity,催生（包括房間及膳食費用）,7200,9000,11200,
total_care,產科,Maternity,無痛分娩過程中使用背脊硬膜外或局部背脊麻醉,7500,8500,10000,
total_care,產科,Maternity,麻醉醫生費(如自然分娩時需麻醉),12300,15800,18000,
hospital,產科,Maternity,自然分娩(已包括產鉗及真空抽吸分娩)-兩晚,23800,32500,41300,
hospital,產科,Maternity,剖腹分娩 - 4晚,34300,45100,58800,
hospital,產科,Maternity,剖腹分娩 - 4晚 (擇時辰/假日/颱風),46400,65700,82500,
hospital,產科,Maternity,緊急剖腹分娩 - 4晚 (少於6小時通知),41400,48200,67200,
hospital,產科,Maternity,每晚額外留院房費(包括膳食),2000,4300,6500,
hospital,產科,Maternity,每日房間費用(膳食及有關醫療費用另計),1300,2900,4200,
hospital,產科,Maternity,無痛分娩過程中使用背脊硬膜外或局部背脊麻醉,7500,8500,10000,
hospital,產科,Maternity,催生（包括房間及膳食費用）,7200,9000,11200,
hospital,產科,Maternity,體外倒轉術,10500,11500,13000,
hospital,產科,Maternity,收集臍帶血作貯存幹細胞的服務費,1320,,,
hospital,產科,Maternity,"包皮環切術 (手術衹限於初生嬰兒, 並會於產科部進行,不包含醫生費用)",5200,,,
hospital,產科,Maternity,光線療法,80,,,
hospital,產科,Maternity,聽覺測驗,1200,,,
hospital,產科,Maternity,貴賓房額外收費- 在私家房套餐計劃上額外徵收,4800,,,
hospital,產科,Maternity,產後物理治療服務,830,,,
hospital,產科,Maternity,乳腺炎及乳腺阻塞物理治療 (30 分鐘),920,,,
hospital,產科,Maternity,產後助產士家訪（檢查媽媽和寶寶狀況、心理健康狀況評估、是否獲取支援及母乳餵哺指導）,2100,,,
hospital,產科,Maternity,收集胎盤服務費,1320,,,
total_care,骨科,Orthopaedic,全膝關節置換術（單側）,191800,,,https://www.matilda.org/fees-and-packages/orthopaedic/total-knee-replacement?hsLang=zh-hk
total_care,骨科,Orthopaedic,全膝關節置換術（雙側）,328000,,,https://www.matilda.org/fees-and-packages/orthopaedic/total-knee-replacement?hsLang=zh-hk
total_care,骨科,Orthopaedic,"髖關節全關節置換術 (S&N人工關節, 單邊)",186000,,,https://www.matilda.org/zh-hk/fees-and-packages/orthopaedic/total-hip-replacement-minimally-invasive-package?hsLang=zh-hk
total_care,骨科,Orthopaedic,"髖關節全關節置換術 (S&N人工關節, 雙邊)",338188,,,https://www.matilda.org/zh-hk/fees-and-packages/orthopaedic/total-hip-replacement-minimally-invasive-package?hsLang=zh-hk
total_care,骨科,Orthopaedic,"髖關節全關節置換術 (Zimmer人工關節 , 單邊)",211800,,,https://www.matilda.org/zh-hk/fees-and-packages/orthopaedic/total-hip-replacement-minimally-invasive-package?hsLang=zh-hk
total_care,骨科,Orthopaedic,"髖關節全關節置換術 (Zimmer人工關節, 雙邊)",346430,,,https://www.matilda.org/zh-hk/fees-and-packages/orthopaedic/total-hip-replacement-minimally-invasive-package?hsLang=zh-hk
total_care,骨科,Orthopaedic,"機械臂輔助髖關節全關節置換術 (S&N人工關節, 單邊)",186000,,,https://www.matilda.org/fees-and-packages/orthopaedic/robotic-assisted-total-hip-replacement-package?hsLang=zh-hk
total_care,骨科,Orthopaedic,"機械臂輔助髖關節全關節置換術 (S&N人工關節, 雙邊)",338188,,,https://www.matilda.org/fees-and-packages/orthopaedic/robotic-assisted-total-hip-replacement-package?hsLang=zh-hk
total_care,骨科,Orthopaedic,陶瓷髖關節表面翻修(表面置換)術（單側-兩晚）,283170,,,https://www.matilda.org/fees-and-packages/orthopaedic/hip-resurfacing-package?hsLang=zh-hk
total_care,骨科,Orthopaedic,陶瓷髖關節表面翻修(表面置換)術（雙側-三晚）,498320,,,https://www.matilda.org/fees-and-packages/orthopaedic/hip-resurfacing-package?hsLang=zh-hk
hospital,骨科,Orthopaedic,經椎孔腰椎椎體間融合手術(五晚),198000,233000,278000,
hospital,骨科,Orthopaedic,前路脊椎融合術﹙單層﹚,129900,156400,184900,
hospital,骨科,Orthopaedic,椎間盤置換術﹙單層、三晚﹚,121100,143500,176300,
hospital,骨科,Orthopaedic,椎間盤置換、前路頸椎椎間盤切除及融合術,178400,210500,271600,
hospital,骨科,Orthopaedic,微創椎間盤切除術﹙單層﹚,62100,77400,97300,
hospital,骨科,Orthopaedic,內側髕股韌帶重建﹙全身麻醉﹚,41600,49600,64200,
hospital,骨科,Orthopaedic,半膝關節置換術﹙全身麻醉、3晚﹚,103200,118700,153900,
hospital,骨科,Orthopaedic,全膝關節置換術﹙全身麻醉、4晚﹚,119970,141280,173780,
hospital,骨科,Orthopaedic,"機械臂輔助髖關節全關節置換術 (S&N人工關節, 單邊)",136860,156140,177960,
hospital,骨科,Orthopaedic,"機械臂輔助髖關節全關節置換術 (S&N人工關節, 雙邊)",236120,268380,299920,
hospital,骨科,Orthopaedic,陶瓷髖關節表面翻修(表面置換)術（單側-兩晚）,133170,158930,181640,
hospital,骨科,Orthopaedic,陶瓷髖關節表面翻修(表面置換)術（雙側-三晚）,234320,283330,321600,
hospital,整形外科,Plastic Surgery,上或下眼瞼 (靜脈麻醉 )(一晚),24100,27800,33300,
hospital,整形外科,Plastic Surgery,上和下眼瞼 (靜脈麻醉 )(一晚),24900,30000,36600,
hospital,整形外科,Plastic Surgery,兩邊乳房縮小(一晚),42600,49000,58000,
hospital,整形外科,Plastic Surgery,隆胸 (不包括植入物 )(一晚),42800,49400,58500,
hospital,整形外科,Plastic Surgery,乳房重建 ( 利用兩側組織 ) (五晚),61280,70750,85280,
hospital,整形外科,Plastic Surgery,兩邊乳房更換植入物 (不包括植入物 )(一晚),35900,43000,51800,
hospital,整形外科,Plastic Surgery,乳房提升,37600,45200,53700,
hospital,整形外科,Plastic Surgery,兩邊耳成形手術,27700,33400,39800,
hospital,整形外科,Plastic Surgery,拉面皮(一晚),38600,46200,55400,
hospital,整形外科,Plastic Surgery,耳前面側(一晚),29300,35200,41800,
hospital,整形外科,Plastic Surgery,前額及耳前面側,34100,40900,49300,
hospital,整形外科,Plastic Surgery,前額,25600,28100,34000,
hospital,整形外科,Plastic Surgery,抽脂 1小時,31600,36400,43000,
hospital,整形外科,Plastic Surgery,抽脂 2小時,41400,47700,56400,
hospital,整形外科,Plastic Surgery,腹部及四肢抽脂五小時,45900,52900,63100,
hospital,整形外科,Plastic Surgery,鼻造形手術（一晚）,36500,43700,52400,
total_care,泌尿科,Urology,經尿道膀胱腫瘤切除術,91100,121840,158130,https://www.matilda.org/fees-and-packages/urology/transurethral-resection-bladder-tumour?hsLang=zh-hk
total_care,泌尿科,Urology,經尿道前列腺切除術,106300,144690,184370,https://www.matilda.org/fees-and-packages/urology/transurethral-resection-of-prostate?hsLang=zh-hk
hospital,泌尿科,Urology,包皮割除 (成人/兒童),18040,22110,26180,
hospital,泌尿科,Urology,輸精管切除 - 睡眠監察麻醉,16350,19260,22180,
hospital,泌尿科,Urology,經尿道前列腺切除術,56100,68970,83270,
hospital,泌尿科,Urology,經尿道膀胱腫瘤切除術,47900,59840,73130,
hospital,泌尿科,Urology,膀胱鏡 (一小時),10200,12000,14000,
