name_zh,name_en,setting,discharges,alos,p50_doctor,p50_hospital,p50_total,p90_doctor,p90_hospital,p90_total
乳房腫塊切除術,Breast lump excision,inpatient,>200,1.3,39000,20651,59651,51600,30758,82358
乳房腫塊切除術,Breast lump excision,day_surgery,<30,日間手術,34800,13201,48001,41200,22296,63496
支氣管鏡檢查 +/- 取活組織,Bronchoscopy with or without biopsy,inpatient,30-100,2.0,14000,23318,37318,27100,34954,62054
支氣管鏡檢查 +/- 取活組織,Bronchoscopy with or without biopsy,day_surgery,30-100,日間手術,13000,14066,27066,13000,21117,34117
剖腹產嬰術,Caesarean section,inpatient,>200,3.5,53000,29086,82086,55600,37595,93195
腕管鬆解術,Carpal tunnel release,inpatient,30-100,1.2,22400,14733,37133,34000,20778,54778
腕管鬆解術,Carpal tunnel release,day_surgery,30-100,日間手術,17000,6512,23512,22000,11536,33536
腹腔鏡膽囊切除術,Cholecystectomy (Laparoscopic),inpatient,>200,2.2,56700,35980,92680,72500,43225,115725
膽囊切除術,Cholecystectomy (Open),inpatient,<30,5.0,82000,46245,128245,88400,53959,142359
包皮環切術,Circumcision,inpatient,>200,1.1,20500,11462,31962,22200,17558,39758
包皮環切術,Circumcision,day_surgery,>200,日間手術,22800,8135,30935,25600,9425,35025
腹腔鏡結腸切除術,Colectomy (Laparoscopic),inpatient,<30,7.1,112000,81341,193341,146400,81437,227837
結腸切除術,Colectomy (Open),inpatient,<30,8.3,79800,69632,149432,73670,94523,168193
大腸內窺鏡 +/- 瘜肉切除術,Colonoscopy with or without polypectomy,inpatient,>200,1.1,17300,10009,27309,19500,18723,38223
大腸內窺鏡 +/- 瘜肉切除術,Colonoscopy with or without polypectomy,day_surgery,>200,日間手術,11200,7773,18973,11500,15203,26703
陰道窺鏡檢查 +/- 活組織檢查,Colposcopy +/- biopsy,inpatient,<30,1.0,14800,11433,26233,33700,13244,46944
陰道窺鏡檢查 +/- 活組織檢查,Colposcopy +/- biopsy,day_surgery,30-100,日間手術,6714,7821,14535,10000,10205,20205
膀胱窺鏡檢查 +/- 取活組織,Cystoscopy with or without biopsy,inpatient,101-200,1.4,12500,13633,26133,23000,14177,37177
膀胱窺鏡檢查 +/- 取活組織,Cystoscopy with or without biopsy,day_surgery,>200,日間手術,8000,4692,12692,14400,8971,23371
子宮擴刮術,Dilatation and Curettage of uterus,inpatient,<30,1.0,21000,9200,30200,25600,13852,39452
子宮擴刮術,Dilatation and Curettage of uterus,day_surgery,<30,日間手術,15800,8606,24406,17500,12053,29553
胃窺鏡與大腸內窺鏡 +/- 瘜肉切除術,Gastroscopy and colonoscopy with or without polypectomy,inpatient,>200,1.1,24800,22843,47643,31400,30254,61654
胃窺鏡與大腸內窺鏡 +/- 瘜肉切除術,Gastroscopy and colonoscopy with or without polypectomy,day_surgery,>200,日間手術,21100,15094,36194,27200,19965,47165
