page_key,page_label,section,name_zh,name_en,stay,price_package,price_standard_risk,price_medium_risk,price_hk_discount,cells_raw,url
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛胃鏡（監察麻醉）健康檢查-標準,Gastroscopy (MAC) Packages - standard,日間操作,,"4,800",,,"無痛胃鏡（監察麻醉）健康檢查-標準 | 日間操作 | 4,800 | ",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛腸鏡（監察麻醉）健康檢查-標準,Colonoscopy (MAC) Packages - standard,日間操作,,"5,500",,,"無痛腸鏡（監察麻醉）健康檢查-標準 | 日間操作 | 5,500 | ",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛胃腸鏡（監察麻醉）健康檢查-標準,Gastroscopy + Colonoscopy (MAC) Packages - standard,日間操作,,"7,500",,,"無痛胃腸鏡（監察麻醉）健康檢查-標準 | 日間操作 | 7,500 | ",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛胃鏡（監察麻醉）健康檢查-,PRO精英版 Gastroscopy (MAC) Packages - PRO Elite,1天（不過夜） 1,,"6,300","5,100","5,100","無痛胃鏡（監察麻醉）健康檢查- | 1天（不過夜） 1 | 6,300 | 5,100",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛腸鏡（監察麻醉）健康檢查-,PRO精英版 Colonoscopy (MAC) Packages - PRO Elite,1天（不過夜） 1,,"7,000","5,800","5,800","無痛腸鏡（監察麻醉）健康檢查- | 1天（不過夜） 1 | 7,000 | 5,800",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛胃腸鏡（監察麻醉）健康檢查-,PRO精英版 Gastroscopy + Colonoscopy (MAC) Packages - PRO Elite,1天（不過夜） 1,,"9,000","7,800","7,800","無痛胃腸鏡（監察麻醉）健康檢查- | 1天（不過夜） 1 | 9,000 | 7,800",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛胃鏡（監察麻醉）健康檢查-,PRO休養版 Gastroscopy (MAC) Packages - PRO Recuperation,1晚 1,,"7,300","5,300","5,300","無痛胃鏡（監察麻醉）健康檢查- | 1晚 1 | 7,300 | 5,300",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛腸鏡（監察麻醉）健康檢查-,PRO休養版 Colonoscopy (MAC) Packages - PRO Recuperation,1晚 1,,"8,000","6,000","6,000","無痛腸鏡（監察麻醉）健康檢查- | 1晚 1 | 8,000 | 6,000",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛胃腸鏡（監察麻醉）健康檢查-,PRO休養版 Gastroscopy + Colonoscopy (MAC) Packages- PRO Recuperation,1晚 1,,"10,000","8,000","8,000","無痛胃腸鏡（監察麻醉）健康檢查- | 1晚 1 | 10,000 | 8,000",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛胃鏡/腸鏡/胃腸鏡/伴活檢加項包（活檢數量<3）,Gastroscopy / Colonoscopy / Combined GI Endoscopy Biopsy Add-on Package (<3 biopsies),日間操作,,"1,000",,,"無痛胃鏡/腸鏡/胃腸鏡/伴活檢加項包（活檢數量<3） | 日間操作 | 1,000 | ",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛胃鏡/腸鏡/胃腸鏡/伴活檢加項包（活檢數量3-5）,Gastroscopy / Colonoscopy / Combined GI Endoscopy Biopsy Add-on Package (3-5 biopsies),日間操作,,"1,500",,,"無痛胃鏡/腸鏡/胃腸鏡/伴活檢加項包（活檢數量3-5） | 日間操作 | 1,500 | ",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛胃鏡/腸鏡/胃腸鏡/伴活檢加項包（活檢數量>5）,Gastroscopy / Colonoscopy / Combined GI Endoscopy Biopsy Add-on Package (>5 biopsies),日間操作,,"2,000",,,"無痛胃鏡/腸鏡/胃腸鏡/伴活檢加項包（活檢數量>5） | 日間操作 | 2,000 | ",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛胃鏡/腸鏡/胃腸鏡/伴息肉切除加項包（息肉數量=1）,Gastroscopy / Colonoscopy / Combined GI Endoscopy Polypectomy Add-on Package (1 polyp),日間操作,,"1,000",,,"無痛胃鏡/腸鏡/胃腸鏡/伴息肉切除加項包（息肉數量=1） | 日間操作 | 1,000 | ",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛胃鏡/腸鏡/胃腸鏡/伴息肉切除加項包（息肉數量2-4）,Gastroscopy / Colonoscopy/Combined GI Endoscopy Polypectomy Add-on Package (2-4 polyps),日間操作,,"2,000",,,"無痛胃鏡/腸鏡/胃腸鏡/伴息肉切除加項包（息肉數量2-4） | 日間操作 | 2,000 | ",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛胃鏡/腸鏡/胃腸鏡 /伴息肉切除加項包（息肉數量>4）,Gastroscopy / Colonoscopy Combined GI Endoscopy Polypectomy Add-on Package (>4 polyps),日間操作,,"3,000",,,"無痛胃鏡/腸鏡/胃腸鏡 /伴息肉切除加項包（息肉數量>4） | 日間操作 | 3,000 | ",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛胃鏡,EMR加項包 Gastroscopy EMR Add-on Package,日間操作,,"6,000",,,"無痛胃鏡 | 日間操作 | 6,000 | ",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛腸鏡,EMR加項包 Colonoscopy EMR Add-on Package,日間操作,,"8,000",,,"無痛腸鏡 | 日間操作 | 8,000 | ",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛胃腸鏡,EMR加項包 Gastroscopy + Colonoscopy EMR Add-on Package,日間操作,,"10,000",,,"無痛胃腸鏡 | 日間操作 | 10,000 | ",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛（胃）腸鏡同台加項 - 痔切除術 - 傳統,Same-Session Add-on with Gastroscopy / Colonoscopy Conventional Hemorrhoidectomy,1晚 1,,"12,000","20,000",,"無痛（胃）腸鏡同台加項 - 痔切除術 - 傳統 | 1晚 1 | 12,000 | 20,000",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛（胃）腸鏡同台加項痔瘡膠圈套扎,RBL - 標準 Same-Session Add-on with Gastroscopy / Colonoscopy Rubber Band Ligation (RBL) for Hemorrhoids - Standard,日間操作,,"2,500","3,125",,"無痛（胃）腸鏡同台加項痔瘡膠圈套扎 | 日間操作 | 2,500 | 3,125",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛（胃）腸鏡同台加項 - 痔瘡膠圈套扎,RBL 庫克一次性套扎器 Same-Session Add-on with Gastroscopy / Colonoscopy Rubber Band Ligation (RBL) for Hemorrhoids - Cook Disposable Ligator,日間操作,,"5,000","6,250",,"無痛（胃）腸鏡同台加項 - 痔瘡膠圈套扎 | 日間操作 | 5,000 | 6,250",https://www.szufh.hk/gi-endoscopy-fees.html
gi-endoscopy,消化内镜,無痛胃腸鏡檢查,無痛（胃）腸鏡同台加項 - 痔瘡硬化劑注射,Same-Session Add-on with Gastroscopy / Colonoscopy Hemorrhoid Sclerotherapy Injection,1天（不過夜） 1,,"3,500","4,375",,"無痛（胃）腸鏡同台加項 - 痔瘡硬化劑注射 | 1天（不過夜） 1 | 3,500 | 4,375",https://www.szufh.hk/gi-endoscopy-fees.html
gynecology,妇科,陰道窺鏡,陰道窺鏡檢查（局部麻醉）,Colposcopy (LA),日間操作,"2,500",,,,"陰道窺鏡檢查（局部麻醉） | 日間操作 | 2,500",https://www.szufh.hk/gynecology-surgery-fees.html
gynecology,妇科,陰道窺鏡,陰道窺鏡及活組織檢查（局部麻醉）,Colposcopy with Biopsy (LA),日間操作,"3,500",,,,"陰道窺鏡及活組織檢查（局部麻醉） | 日間操作 | 3,500",https://www.szufh.hk/gynecology-surgery-fees.html
gynecology,妇科,陰道窺鏡,子宮頸錐形切除術,Cervical Cone Biopsy / Conization,日間操作,"18,000",,,,"子宮頸錐形切除術 | 日間操作 | 18,000",https://www.szufh.hk/gynecology-surgery-fees.html
gynecology,妇科,陰道窺鏡,子宮頸電環切除術（,LEEP） Loop Electrosurgical Excision Procedure (LEEP),日間操作,"15,000",,,,"子宮頸電環切除術（ | 日間操作 | 15,000",https://www.szufh.hk/gynecology-surgery-fees.html
gynecology,妇科,陰道窺鏡,預防性子宮頸環紮術,Prophylactic Cervical Cerclage,日間操作,"35,000",,,,"預防性子宮頸環紮術 | 日間操作 | 35,000",https://www.szufh.hk/gynecology-surgery-fees.html
gynecology,妇科,陰道窺鏡,子宮頸病變射頻治療（局部麻醉）,Radiofrequency Treatment of Cervical Lesions (LA),日間操作,"6,000",,,,"子宮頸病變射頻治療（局部麻醉） | 日間操作 | 6,000",https://www.szufh.hk/gynecology-surgery-fees.html
gynecology,妇科,陰道窺鏡,子宮頸病變射頻治療（監測麻醉）,Radiofrequency Treatment of Cervical Lesions (MAC),日間操作,"18,000",,,,"子宮頸病變射頻治療（監測麻醉） | 日間操作 | 18,000",https://www.szufh.hk/gynecology-surgery-fees.html
gynecology,妇科,陰道窺鏡,子宮鏡診治手術 （活組織檢查/息肉切除/縱隔切除/黏連分離/異物取出）,Hysteroscopy with Biopsy / Polypectomy / Septum Resection / Adhesiolysis / Foreign Body Removal,日間操作,,"20,000","25,000",,"子宮鏡診治手術 （活組織檢查/息肉切除/縱隔切除/黏連分離/異物取出） | 日間操作 | 20,000 | 25,000",https://www.szufh.hk/gynecology-surgery-fees.html
gynecology,妇科,陰道窺鏡,子宮鏡子宮肌瘤切除術,Hysteroscopic Myomectomy,日間操作,,"28,000","35,000",,"子宮鏡子宮肌瘤切除術 | 日間操作 | 28,000 | 35,000",https://www.szufh.hk/gynecology-surgery-fees.html
gynecology,妇科,陰道窺鏡,腹腔鏡子宮肌瘤切除術,Laparoscopic Myomectomy,3晚,,"60,000","75,000",,"腹腔鏡子宮肌瘤切除術 | 3晚 | 60,000 | 75,000",https://www.szufh.hk/gynecology-surgery-fees.html
gynecology,妇科,陰道窺鏡,開放式子宮肌瘤切除術,Open Myomectomy,3晚,,"55,000","68,750",,"開放式子宮肌瘤切除術 | 3晚 | 55,000 | 68,750",https://www.szufh.hk/gynecology-surgery-fees.html
