specialty,procedure,avg_los_days,total_min,total_median,total_mean,total_max,ot_fee_min,ot_fee_median,ot_fee_mean,ot_fee_max,doctor_fee_min,doctor_fee_median,doctor_fee_mean,doctor_fee_max,anaesth_fee_min,anaesth_fee_median,anaesth_fee_mean,anaesth_fee_max,hospital_fee_min,hospital_fee_median,hospital_fee_mean,hospital_fee_max,room_class,period,updated,currency,source,source_url
耳鼻喉科,鼻中隔成形術,2.6,40690,93450,101510,232730,13070,21620,25590,54480,18220,49600,52730,120000,5460,12390,14810,39900,3290,6740,8380,28950,標準房,2025-07 to 2025-12,2026-01-15,HKD,union_hospital_general_surgery_charges_tc.pdf,https://www.union.org/appassets/Charges/union_hospital_general_surgery_charges_tc.pdf
耳鼻喉科,扁桃體切除術,2.1,28770,65790,71290,129900,11660,17800,17990,29790,10760,27300,31390,61800,3230,8100,9230,21000,3120,10690,12690,58650,標準房,2025-07 to 2025-12,2026-01-15,HKD,union_hospital_general_surgery_charges_tc.pdf,https://www.union.org/appassets/Charges/union_hospital_general_surgery_charges_tc.pdf
耳鼻喉科,功能性內視鏡鼻竇手術,2.8,56520,135840,140700,384600,15800,42270,40970,89150,23540,66000,68920,207430,7060,18000,19250,60000,3640,9710,11560,30130,標準房,2025-07 to 2025-12,2026-01-15,HKD,union_hospital_general_surgery_charges_tc.pdf,https://www.union.org/appassets/Charges/union_hospital_general_surgery_charges_tc.pdf
耳鼻喉科,顯微喉內視鏡檢查,2.0,34580,57850,59790,144740,11750,15070,15870,41720,11950,26230,26950,57000,3590,8000,7960,15000,3410,7350,9020,39820,標準房,2025-07 to 2025-12,2026-01-15,HKD,union_hospital_general_surgery_charges_tc.pdf,https://www.union.org/appassets/Charges/union_hospital_general_surgery_charges_tc.pdf
眼科,晶狀體乳化+人工晶體植入術(局部麻醉)(非住院),1.0,13000,21130,22990,60680,6070,6070,7100,18840,6000,13100,14880,42000,0,0,0,0,930,930,1020,3470,標準房,2025-07 to 2025-12,2026-01-15,HKD,union_hospital_general_surgery_charges_tc.pdf,https://www.union.org/appassets/Charges/union_hospital_general_surgery_charges_tc.pdf
外科,痔瘡切除術,2.2,30910,44040,46540,83420,7170,9140,10700,16400,12080,18600,20780,35000,3490,5500,5970,11550,1910,8630,9090,42860,標準房,2025-07 to 2025-12,2026-01-15,HKD,union_hospital_general_surgery_charges_tc.pdf,https://www.union.org/appassets/Charges/union_hospital_general_surgery_charges_tc.pdf
外科,超聲波導引乳房腫塊切除術,2.2,35480,57200,64130,157600,10680,14810,15570,30450,12450,27200,29520,74400,3740,7500,8560,23000,5080,9430,10480,50390,標準房,2025-07 to 2025-12,2026-01-15,HKD,union_hospital_general_surgery_charges_tc.pdf,https://www.union.org/appassets/Charges/union_hospital_general_surgery_charges_tc.pdf
外科,乳房切除術,4.3,107930,122880,126660,147540,22080,29200,28690,33140,51000,59700,61460,73600,14500,17500,17750,21000,15800,17950,18760,24770,標準房,2025-07 to 2025-12,2026-01-15,HKD,union_hospital_general_surgery_charges_tc.pdf,https://www.union.org/appassets/Charges/union_hospital_general_surgery_charges_tc.pdf
外科,腹腔鏡內膽囊切除術,3.2,74300,97010,110660,232740,19530,24940,28050,74250,27200,41820,45810,84220,8000,12600,13740,28000,9890,16010,23060,78200,標準房,2025-07 to 2025-12,2026-01-15,HKD,union_hospital_general_surgery_charges_tc.pdf,https://www.union.org/appassets/Charges/union_hospital_general_surgery_charges_tc.pdf
外科,腹腔鏡直腸切除術,9.4,181630,251570,282140,478440,56530,80060,84590,126260,53220,92610,103010,206220,13000,25750,27670,50000,35350,54240,66880,175170,標準房,2025-07 to 2025-12,2026-01-15,HKD,union_hospital_general_surgery_charges_tc.pdf,https://www.union.org/appassets/Charges/union_hospital_general_surgery_charges_tc.pdf
