医院,科室,套餐,时长,手术天数,价格 HKD,备注,链接
香港中文大學醫院,婦產科,自然分娩 (二人房 / 一人房),住院,3日2夜,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$23,200-$40,300""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",不包括醫生費用。,https://www.cuhkmc.hk/sc/fees-and-charges/maternity
香港中文大學醫院,婦產科,自然分娩 (二人房 / 一人房),住院,4日3夜,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$26,000-$43,900""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",不包括醫生費用。,https://www.cuhkmc.hk/sc/fees-and-charges/maternity
香港中文大學醫院,婦產科,選擇性剖腹分娩 (二人房 / 一人房),住院,5日4夜,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$31,000-$49,800""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",不包括醫生費用。,https://www.cuhkmc.hk/sc/fees-and-charges/maternity
香港中文大學醫院,婦產科,緊急剖腹分娩 (二人房 / 一人房),住院,5日4夜,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$39,500-$59,800""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",不包括醫生費用。,https://www.cuhkmc.hk/sc/fees-and-charges/maternity
香港中文大學醫院,內視鏡中心,支氣管鏡檢查,住院,1.5日,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$58,162-$77,014""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：是否附加活組織檢查。2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,內視鏡中心,支氣管鏡檢查 (日間手術),日間,日間,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$40,796-$53,266""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,內視鏡中心,大腸鏡檢查,住院,1.2日,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$24,738-$47,091""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：是否附加息肉切除術。2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,內視鏡中心,大腸鏡檢查 (日間手術),日間,日間,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$19,250-$23,180""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,內視鏡中心,胃鏡及大腸鏡檢查,住院,1.1日,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$39,664-$59,554""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：是否附加息肉切除術。2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,內視鏡中心,胃鏡及大腸鏡檢查 (日間手術),日間,日間,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$28,056-$36,350""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
